"- REGISTRATION IP UNAVAILABLE -","- IP ADRESSE NICHT VERFÜGBAR -"
"Admin IP during creation","Admin IP Adresse beim Anlegen des Kunden"
"Remote IP during registration","IP Adresse bei der Registrierung"
"Remote Address:","IP Adresse:"
"Check the location of %s via AJAX","Überprüfe die Herkunft für %s via AJAX"
"Check the location of %s in a popup","Übereprüfe die Herkunft für %s in einem neuen Fenster"
"Netzarbeiter Extensions","Netzarbeiter Erweiterungen"
"Customer Registration IP","Customer Registration IP"
"General","Allgemein"
"IpInfoDb API Key","IpInfoDb API Key"
"Visit <a href=""http://ipinfodb.com/register.php"" target="_blank">ipinfodb.com</a> for a free API key.","Besuchen Sie <a href=""http://ipinfodb.com/register.php"" target="_blank">ipinfodb.com</a> um einen kostenlosen API Key zu beantragen."
"Lookup Error: %s","Fehler beim Nachschlagen: %s"
"IP:","IP:"
"DNS Lookup:","DNS Lookup:"
"Country:","Land:"
"Region:","Region/Staat:"
"City:","Ort:"
"Postcode:","Postleitzahl:"


